"VersionEffective","LOINC_NUM","Property","ValuePrior","ValueCurrent","ChangeReason"
"2.82","100346-6","COMPONENT","Clotting time.extrinsic coagulation system activated.platelets inhibited","Clotting time",""
"2.82","100346-6","LONG_COMMON_NAME","Clotting time.extrinsic coagulation system activated.platelets inhibited of Blood by Rotational TEG","Clotting time of Blood by Thromboelastography.rotational.extrinsic coagulation system activated.platelets inhibited",""
"2.82","100346-6","METHOD_TYP","Thromboelastography.rotational","Thromboelastography.rotational.extrinsic coagulation system activated.platelets inhibited",""
"2.82","100346-6","SHORTNAME","CT.extr plt inhib Bld ROTEM","Clot tm Bld TEG rot extrinsic coag plt",""
"2.82","100347-4","COMPONENT","Clot formation.extrinsic coagulation system activated.platelets inhibited","Clot formation",""
"2.82","100347-4","LONG_COMMON_NAME","Clot formation.extrinsic coagulation system activated.platelets inhibited [Time] in Blood by Rotational TEG","Clot formation [Time] in Blood by Thromboelastography.rotational.extrinsic coagulation system activated.platelets inhibited",""
"2.82","100347-4","METHOD_TYP","Thromboelastography.rotational","Thromboelastography.rotational.extrinsic coagulation system activated.platelets inhibited",""
"2.82","100347-4","SHORTNAME","CT.extr plt inhib Bld ROTEM","CFT Bld TEG rot extrinsic coag plt",""
"2.82","100423-3","LONG_COMMON_NAME","Allergy Mushroom Mix 1 (Button + oyster + Shiitaki + chanterelle mushroom) IgG Ab [Units/volume] in Serum","Allergy Mushroom Mix 1 (Button + oyster + Shiitake + chanterelle mushroom) IgG Ab [Units/volume] in Serum",""
"2.82","100458-9","METHOD_TYP","","{Role}",""
"2.82","100653-5","LONG_COMMON_NAME","Pure tone air conduction threshold audiometry panel","Deprecated Pure tone air conduction threshold audiometry panel",""
"2.82","100653-5","SHORTNAME","Pure tone air thresh Pnl","Deprecated Pure tone air thresh Pnl",""
"2.82","100653-5","STATUS","ACTIVE","DEPRECATED",""
"2.82","100658-4","METHOD_TYP","","{Role}",""
"2.82","100672-5","SHORTNAME","A fumigatus DNA Bld Ql NAA+probe","A fumgtus DNA Bld Ql NAA+probe",""
"2.82","100709-5","SHORTNAME","Hep Ca Risk Score Patient GAAD","Hep Ca Risk Scre Patient GAAD",""
"2.82","100733-5","SHORTNAME","LDLc  cor Lpa Cholest","LDLc cor Lpa Cholest","Fixed double space in Shortname"
"2.82","100908-3","SHORTNAME","P aeruginosa Lower resp Ql Cult","P aerugns Lower resp Ql Cult",""
"2.82","100973-7","SHORTNAME","FLUAV RNA Nose Ql NAA+non-probe","FLUAV RNA Nose Ql NAA+n-prb",""
"2.82","100974-5","SHORTNAME","FLUBV RNA Nose Ql NAA+non-probe","FLUBV RNA Nose Ql NAA+n-prb",""
"2.82","101078-4","COMPONENT","D little w Ab","D super little w Ab",""
"2.82","101078-4","LONG_COMMON_NAME","Dw Ab [Presence] in Serum or Plasma","D(sup)w Ab [Presence] in Serum or Plasma",""
"2.82","101078-4","SHORTNAME","Dw Ab SerPl Ql","D(sup)w Ab SerPl Ql",""
"2.82","101128-7","DefinitionDescription","The theoretical limit of detection for the patient sample, which at one reference laboratory, is calculated as 20 abnormal PC events divided by the actual number of non-aggregate events collected from the sample.","The theoretical limit of detection for the patient sample, which at one reference laboratory, is calculated as 20 abnormal cell events divided by the actual number of non-aggregate events collected from the sample.",""
"2.82","101137-8","DefinitionDescription","","This test detects whether MNS29 antibodies are present in human serum or plasma. It is used in immunohematology to identify atypical blood group antibodies, particularly in pre-transfusion or pregnancy screening settings. The result is reported as either present or absent.",""
"2.82","101199-8","FORMULA","N/A","",""
"2.82","101200-4","FORMULA","N/A","",""
"2.82","101250-9","SHORTNAME","A fumigatus Islt Ql","A fumgtus Islt Ql",""
"2.82","101284-8","SHORTNAME","B pert DNA Nph Ql NAA+non-probe","B pert DNA Nph Ql NAA+n-prb",""
"2.82","101286-3","SHORTNAME","HAdV DNA Throat Ql NAA+non-probe","HAdV DNA Throat Ql NAA+n-prb",""
"2.82","101287-1","SHORTNAME","C pneum DNA Throat Ql NAA+non-probe","C pneum DNA Throat Ql NAA+n-prb",""
"2.82","101289-7","SHORTNAME","SARS-CoV-2 RNA Throat Ql NAA+non-probe","SARS-CoV-2 RNA Throat Ql NAA+n-prb",""
"2.82","101290-5","SHORTNAME","hMPV RNA Throat Ql NAA+non-probe","hMPV RNA Throat Ql NAA+n-prb",""
"2.82","101291-3","SHORTNAME","RV+EV RNA Throat Ql NAA+non-probe","RV+EV RNA Throat Ql NAA+n-prb",""
"2.82","101292-1","SHORTNAME","FLUAV RNA Throat Ql NAA+non-probe","FLUAV RNA Throat Ql NAA+n-prb",""
"2.82","101294-7","SHORTNAME","FLUAV H3 RNA Throat Ql NAA+non-probe","FLUAV H3 RNA Throat Ql NAA+n-prb",""
"2.82","101295-4","SHORTNAME","FLUBV RNA Throat Ql NAA+non-probe","FLUBV RNA Throat Ql NAA+n-prb",""
"2.82","101296-2","SHORTNAME","M pneumo DNA Throat Ql NAA+non-probe","M pneumo DNA Throat Ql NAA+n-prb",""
"2.82","101297-0","SHORTNAME","HPIV 1+2+3+4 RNA Throat Ql NAA+non-probe","HPIV 1+2+3+4 RNA Throat Ql NAA+n-prb",""
"2.82","101298-8","SHORTNAME","RSV RNA Throat Ql NAA+non-probe","RSV RNA Throat Ql NAA+n-prb",""
"2.82","101300-2","SHORTNAME","S pyo DNA Throat Ql NAA+non-probe","S pyo DNA Throat Ql NAA+n-prb",""
"2.82","101302-8","SHORTNAME","Leptospira DNA Bld Ql NAA+non-probe","Leptospira DNA Bld Ql NAA+n-prb",""
"2.82","101303-6","SHORTNAME","CHIKV RNA Bld Ql NAA+non-probe","CHIKV RNA Bld Ql NAA+n-prb",""
