"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.82","LP101300-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP133413-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP145522-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP14701-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP15597-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP15962-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP15965-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP15967-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP15970-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP15974-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP15980-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP15981-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP15983-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16007-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16867-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16892-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16894-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16895-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16896-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16897-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16898-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16899-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP16900-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP17246-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP17273-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP17275-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP173512-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP173515-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP174102-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP18256-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185815-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185816-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185818-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185870-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185873-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185876-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185879-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185903-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185904-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185905-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP185906-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP186237-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP187068-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP18782-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP189777-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP19038-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP199581-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP199582-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP199669-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP200129-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP200241-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP200319-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP20548-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP207921-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP212189-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP212190-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP212191-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP212192-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227610-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227611-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227612-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227613-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227614-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227615-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227616-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227617-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227618-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227619-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227880-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227881-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227882-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227883-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227940-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP227941-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228037-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228039-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228040-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228041-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228065-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228066-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228067-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228068-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228069-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228070-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228076-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228077-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228078-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228092-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228108-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228109-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228110-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228111-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228112-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228113-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228114-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228115-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228116-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228117-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228219-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228220-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228221-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228315-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228318-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228319-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228362-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228367-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228368-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228370-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228371-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228374-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228375-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228709-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228732-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228733-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228734-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228779-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228780-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228782-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228865-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228866-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228867-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228868-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP228993-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229026-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229027-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229028-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229138-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229139-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229141-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229194-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229196-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229450-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229451-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229452-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229498-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229499-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229501-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229503-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229504-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229505-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229506-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229697-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229700-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229701-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229709-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229821-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP229901-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP249275-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP265242-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP265243-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP265246-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP265606-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP265893-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP266627-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP266777-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP268392-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP269258-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP269259-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP269607-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP269608-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP269609-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP269610-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP269611-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP284668-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP284669-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP284936-4","STATUS","ACTIVE","INACTIVE",""
"2.82","LP286314-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP28970-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP29098-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP29099-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP29307-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP29596-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP30539-8","STATUS","ACTIVE","INACTIVE",""
"2.82","LP306606-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP306607-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP306609-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307463-2","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307464-0","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307465-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307466-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307467-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307468-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307469-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307470-7","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307471-5","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307472-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307473-1","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307622-3","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307624-9","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307625-6","STATUS","ACTIVE","INACTIVE",""
"2.82","LP307626-4","STATUS","ACTIVE","INACTIVE",""
