"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"50544-6","","","","","","","","","Everolimus [Mass/volume] in Blood","","الإيفيروليمس في الدم ( بتقنية الكتلة / الحجم )"
"51760-7","","","","","","","","","Ehrlichia chaffeensis IgG+IgM Ab [Presence] in Serum or Plasma","","الكشف عن تواجد أضداد الغلوبولين المناعي نمط G و M لبكتيريا إيرليخيا شافينسيس في المصل أو البلازما"
"5351-2","","","","","","","","","Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immunoassay","","الكشف عن تواجد الأجسام المضادة النووية القابلة للاستخلاص من متلازمة شوغرن-أ في المصل باستخدام تقنية المقايسة المناعية"
"47855-2","","","","","","","","","Fibroblast growth factor 23.C-terminal [Units/volume] in Plasma","","الطرف الكربوكسيلي لعامل نمو الخلايا الليفية 23 في البلازما ( بتقنية الوحدات / الحجم )"
"48598-7","","","","","","","","","BBS2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method","","تحليل الطفرات المستهدفة لجين BBS2 في الدم أو الأنسجة باستخدام طريقة علم الوراثة الجزيئية"
"53028-7","","","","","","","","","Cyclic citrullinated peptide Ab [Presence] in Serum","","الكشف عن تواجد الأجسام المضادة للببتيد الستيروليني الحلقي CCP"
"53372-9","","","","","","","","","Echovirus IgM Ab [Titer] in Serum","","تحديد كمية أضداد الغلوبولين المناعي نمط M لداء المشوكات في المصل"
"5353-8","","","","","","","","","Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay","","الكشف عن تواجد الأجسام المضادة النووية القابلة للاستخلاص من متلازمة شوغرن-ب في مصل الدم باستخدام تقنية المقايسة المناعية"
"54089-8","","","","","","","","","Newborn screening panel American Health Information Community (AHIC)","","لوحة فحص حديثي الولادة حسب جمعية المعلومات الصحية الأمريكية"
"54344-7","","","","","","","","","3-Methoxytyramine [Mass/volume] in 24 hour Urine","","3 ميثوكسي تيرامين ( بتقنية الكتلة / الحجم ) في البول المجمع لمدة 24 ساعة"
"55220-8","","","","","","","","","Asialoglycoprotein receptor Ab [Units/volume] in Serum","","الأجسام المضادة لمستقبلات البروتين السكري الآسيوي ( بتقنية الوحدات / الحجم ) في المصل"
"50039-7","","","","","","","","","5-Methyltetrahydrofolate/Folate in Serum or Plasma","","قياس مستوى الـ 5 - ميثيل تترا هيدروفوليت في المصل أو البلازما"
"50150-2","","","","","","","","","5-Hydroxytryptophan [Moles/volume] in Serum or Plasma","","5 هيدروكسي تريبتوفان ( بتقنية الكتلة / الحجم ) في المصل أو البلازما"
"5132-6","","","","","","","","","DNA single strand Ab [Units/volume] in Serum","","أضداد الحمض النووي أحادي السلسلة في المصل ( بتقنية الوحدات / الحجم )"
"51979-3","","","","","","","","","Donepezil [Mass/volume] in Serum or Plasma","","الدونيبيزيل في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"5646-5","","","","","","","","","Ethylene glycol [Mass/volume] in Serum, Plasma or Blood","","الإيثيلين غليكول في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"62369-4","","","","","","","","","FISH probe name panel - Laboratory device","",""
"25303-9","","","","","","","","","Alpha 1 antitrypsin [Mass/mass] in Stool","","ألفا 1 أنتي تريبسين ( بتقنية الكتلة / الحجم ) في البراز"
"26784-9","","","","","","","","","diazePAM [Mass/volume] in Serum or Plasma by Confirmatory method","","الديازيبام في المصل أو البلازما ( بتقنية الكتلة / الحجم )"
"10331-7","","","","","","","","","Rh [Type] in Blood","","فحص تحديد عامل الريزوس"
"108288-2","","","","","","","","","Endomysium IgM Ab [Units/volume] in Serum","","الأجسام المضادة للغلوبولين المناعي نمط M لغشاء الليف الداخلي في المصل ( بتقنية الوحدات / الحجم )"
