"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"BEFORE","100346-6","Clotting time.extrinsic coagulation system activated.platelets inhibited","Time","Pt","Bld","Qn","Thromboelastography.rotational","COAG"
"CHANGED","100346-6","Clotting time","Time","Pt","Bld","Qn","Thromboelastography.rotational.extrinsic coagulation system activated.platelets inhibited","COAG"
"BEFORE","100347-4","Clot formation.extrinsic coagulation system activated.platelets inhibited","Time","Pt","Bld","Qn","Thromboelastography.rotational","COAG"
"CHANGED","100347-4","Clot formation","Time","Pt","Bld","Qn","Thromboelastography.rotational.extrinsic coagulation system activated.platelets inhibited","COAG"
"BEFORE","101078-4","D little w Ab","PrThr","Pt","Ser/Plas","Ord","","BLDBK"
"CHANGED","101078-4","D super little w Ab","PrThr","Pt","Ser/Plas","Ord","","BLDBK"
"BEFORE","101516-3","Salmonella dublin Ab","AFr","Pt","XXX","Qn","IA","MICRO"
"CHANGED","101516-3","Salmonella dublin Ab/Negative control","RelRto","Pt","XXX","Nom","IA","MICRO"
"BEFORE","101547-8","Hepatocyte Ag by paraffin 1","Find","Pt","Bld/Tiss","Ord","Immune stain","PATH"
"CHANGED","101547-8","Hepatocyte paraffin 1 Ab","Find","Pt","Bld/Tiss","Ord","Immune stain","PATH"
"BEFORE","101736-7","Brushite crystals","EngDiff","24H","Urine","Qn","","CHEM"
"CHANGED","101736-7","Calcium hydrogen phosphate dihydrate crystals","EngDiff","24H","Urine","Qn","","CHEM"
"BEFORE","101738-3","Platelet aggregation.ristocetin induced^250 ug/mL","RelACnc","Pt","PRP","Qn","","COAG"
"CHANGED","101738-3","Platelet aggregation","RelACnc","Pt","PRP","Qn","Aggregometry.ristocetin induced.250 ug/mL","COAG"
"BEFORE","101739-1","Platelet aggregation.ristocetin induced^125 ug/mL","RelACnc","Pt","PRP","Qn","","COAG"
"CHANGED","101739-1","Platelet aggregation","RelACnc","Pt","PRP","Qn","Aggregometry.ristocetin induced.125 ug/mL","COAG"
"BEFORE","101825-8","Brushite crystals","SatFr","24H","Urine","Qn","","CHEM"
"CHANGED","101825-8","Calcium hydrogen phosphate dihydrate crystals","SatFr","24H","Urine","Qn","","CHEM"
"BEFORE","101928-0","SARS-CoV-2 Ag","PrThr","Pt","Nasopharynx","Ord","IF","MICRO"
